population,year,Date,consomation
29.2,2012-02-29,1980,15.557852882703775
29.4,2012-03-31,1980,15.664413518886679
29.5,2012-04-30,1980,15.717693836978132
29.5,2012-05-31,1980,15.717693836978132
29.6,2012-06-30,1980,15.770974155069583
29.6,2012-07-31,1980,15.770974155069583
29.6,2012-08-31,1980,15.770974155069583
29.6,2012-09-30,1980,15.770974155069583
29.8,2012-10-31,1980,15.877534791252486
29.8,2012-11-30,1981,16.683854942871335
29.8,2012-12-31,1981,16.683854942871335
29.9,2013-01-31,1981,16.739841033283653
30.0,2013-02-28,1981,16.795827123695975
30.0,2013-03-31,1981,16.795827123695975
30.1,2013-04-30,1981,16.851813214108297
30.1,2013-05-31,1981,16.851813214108297
30.1,2013-06-30,1981,16.851813214108297
30.2,2013-07-31,1981,16.907799304520616
30.3,2013-08-31,1981,16.963785394932934
30.3,2013-09-30,1981,16.963785394932934
30.4,2013-10-31,1981,17.019771485345252
30.5,2013-11-30,1982,15.992055610724925
30.5,2013-12-31,1982,15.992055610724925
30.5,2014-01-31,1982,15.992055610724925
30.6,2014-02-28,1982,16.044488579940417
30.7,2014-03-31,1982,16.09692154915591
30.7,2014-04-30,1982,16.09692154915591
30.8,2014-05-31,1982,16.1493545183714
30.8,2014-06-30,1982,16.1493545183714
30.9,2014-07-31,1983,17.788585607940448
30.9,2014-08-31,1983,17.788585607940448
30.9,2014-09-30,1983,17.788585607940448
31.0,2014-10-31,1983,17.846153846153847
31.1,2014-11-30,1983,17.903722084367246
31.2,2014-12-31,1983,17.961290322580645
31.2,2015-01-31,1983,17.961290322580645
31.2,2015-02-28,1983,17.961290322580645
31.2,2015-03-31,1984,20.753571428571426
31.3,2015-04-30,1984,20.820089285714285
31.3,2015-05-31,1984,20.820089285714285
31.4,2015-06-30,1984,20.886607142857144
31.6,2015-07-31,1984,21.019642857142856
32.0,2015-08-31,1984,21.285714285714285
32.0,2015-09-30,1984,21.285714285714285
32.0,2015-10-31,1984,21.285714285714285
32.1,2015-11-30,1984,21.352232142857144
32.2,2015-12-31,1985,22.87684680218146
32.2,2016-01-31,1985,22.87684680218146
32.3,2016-02-29,1985,22.947892910262762
32.3,2016-03-31,1985,22.947892910262762
32.5,2016-04-30,1985,23.089985126425383
32.5,2016-05-31,1985,23.089985126425383
32.5,2016-06-30,1985,23.089985126425383
32.6,2016-07-31,1985,23.161031234506694
32.7,2016-08-31,1985,23.232077342588006
32.8,2016-09-30,1985,23.303123450669307
32.9,2016-10-31,1985,23.37416955875062
33.0,2016-11-30,1985,23.445215666831928
33.1,2016-12-31,1985,23.51626177491324
33.2,2017-01-31,1985,23.587307882994548
33.2,2017-02-28,1986,25.58275520317146
33.3,2017-03-31,1986,25.659811694747273
33.5,2017-04-30,1986,25.81392467789891
33.5,2017-05-31,1986,25.81392467789891
33.6,2017-06-30,1986,25.890981169474728
33.7,2017-07-31,1986,25.96803766105055
33.8,2017-08-31,1986,26.04509415262636
33.9,2017-09-30,1986,26.12215064420218
33.9,2017-10-31,1986,26.12215064420218
33.9,2017-11-30,1986,26.12215064420218
34.1,2017-12-31,1986,26.276263627353817
34.1,2018-01-31,1986,26.276263627353817
34.4,2018-02-28,1987,28.11292719167905
34.4,2018-03-31,1987,28.11292719167905
34.6,2018-04-30,1987,28.27637444279346
34.6,2018-05-31,1987,28.27637444279346
34.8,2018-06-30,1987,28.43982169390787
34.8,2018-07-31,1987,28.43982169390787
34.9,2018-08-31,1987,28.521545319465083
35.1,2018-09-30,1987,28.684992570579496
35.1,2018-10-31,1987,28.684992570579496
35.1,2018-11-30,1987,28.684992570579496
35.2,2018-12-31,1987,28.766716196136706
35.4,2019-01-31,1987,28.930163447251115
35.5,2019-02-28,1987,29.01188707280832
35.5,2019-03-31,1987,29.01188707280832
35.5,2019-04-30,1988,27.749752475247526
35.6,2019-05-31,1988,27.827920792079208
35.6,2019-06-30,1988,27.827920792079208
35.7,2019-07-31,1988,27.906089108910894
35.7,2019-08-31,1988,27.906089108910894
35.7,2019-09-30,1988,27.906089108910894
35.7,2019-10-31,1988,27.906089108910894
35.8,2019-11-30,1988,27.984257425742573
35.9,2019-12-31,1988,28.062425742574256
36.0,2020-01-31,1989,21.83869371598219
36.1,2020-02-29,1989,21.899356754082138
36.2,2020-03-31,1989,21.96001979218209
36.2,2020-04-30,1989,21.96001979218209
36.4,2020-05-31,1989,22.08134586838199
36.4,2020-06-30,1989,22.08134586838199
36.6,2020-07-31,1989,22.20267194458189
36.7,2020-08-31,1989,22.263334982681844
36.8,2020-09-30,1989,22.32399802078179
37.0,2020-10-31,1989,22.445324096981693
37.0,2020-11-30,1989,22.445324096981693
37.0,2020-12-31,1989,22.445324096981693
37.0,2021-01-31,1989,22.445324096981693
37.2,2021-02-28,1990,24.947181008902078
37.2,2021-03-31,1990,24.947181008902078
37.2,2021-04-30,1990,24.947181008902078
37.2,2021-05-31,1990,24.947181008902078
37.2,2021-06-30,1990,24.947181008902078
37.3,2021-07-31,1990,25.014243323442134
37.3,2021-08-31,1990,25.014243323442134
37.4,2021-09-30,1990,25.081305637982197
37.4,2021-10-31,1991,27.768067226890754
37.5,2021-11-30,1991,27.842313395946615
37.6,2021-12-31,1991,27.916559565002473
37.6,2022-01-31,1991,27.916559565002473
37.6,2022-02-28,1991,27.916559565002473
37.7,2022-03-31,1991,27.99080573405833
37.8,2022-04-30,1991,28.065051903114185
37.8,2022-05-31,1991,28.065051903114185
38.0,2022-06-30,1991,28.213544241225904
38.0,2022-07-31,1991,28.213544241225904
38.1,2022-08-31,1991,28.28779041028176
38.2,2022-09-30,1991,28.36203657933762
38.4,2022-10-31,1991,28.51052891744933
38.6,2022-11-30,1991,28.65902125556105
38.6,2022-12-31,1992,29.52213438735178
38.7,2023-01-31,1992,29.598616600790518
38.8,2023-02-28,1992,29.675098814229248
38.9,2023-03-31,1992,29.75158102766798
39.0,2023-04-30,1992,29.82806324110672
39.1,2023-05-31,1992,29.904545454545456
39.3,2023-06-30,1992,30.057509881422924
39.4,2023-07-31,1992,30.133992094861657
39.4,2023-08-31,1992,30.133992094861657
39.5,2023-09-30,1992,30.210474308300395
39.6,2023-10-31,1992,30.286956521739132
39.8,2023-11-30,1992,30.4399209486166
39.9,2023-12-31,1992,30.516403162055333
40.0,2024-01-31,1992,30.59288537549407
