population,year,Date,consomation
29.2,2012-02-29,1980,18.620079522862824
29.4,2012-03-31,1980,18.747614314115307
29.5,2012-04-30,1980,18.81138170974155
29.5,2012-05-31,1980,18.81138170974155
29.6,2012-06-30,1980,18.875149105367793
29.6,2012-07-31,1980,18.875149105367793
29.6,2012-08-31,1980,18.875149105367793
29.6,2012-09-30,1980,18.875149105367793
29.8,2012-10-31,1980,19.00268389662028
29.8,2012-11-30,1981,20.784500745156485
29.8,2012-12-31,1981,20.784500745156485
29.9,2013-01-31,1981,20.85424739195231
30.0,2013-02-28,1981,20.923994038748138
30.0,2013-03-31,1981,20.923994038748138
30.1,2013-04-30,1981,20.993740685543965
30.1,2013-05-31,1981,20.993740685543965
30.1,2013-06-30,1981,20.993740685543965
30.2,2013-07-31,1981,21.06348733233979
30.3,2013-08-31,1981,21.13323397913562
30.3,2013-09-30,1981,21.13323397913562
30.4,2013-10-31,1981,21.202980625931446
30.5,2013-11-30,1982,23.79121151936445
30.5,2013-12-31,1982,23.79121151936445
30.5,2014-01-31,1982,23.79121151936445
30.6,2014-02-28,1982,23.86921549155909
30.7,2014-03-31,1982,23.947219463753722
30.7,2014-04-30,1982,23.947219463753722
30.8,2014-05-31,1982,24.025223435948362
30.8,2014-06-30,1982,24.025223435948362
30.9,2014-07-31,1983,26.146153846153847
30.9,2014-08-31,1983,26.146153846153847
30.9,2014-09-30,1983,26.146153846153847
31.0,2014-10-31,1983,26.23076923076923
31.1,2014-11-30,1983,26.315384615384616
31.2,2014-12-31,1983,26.4
31.2,2015-01-31,1983,26.4
31.2,2015-02-28,1983,26.4
31.2,2015-03-31,1984,31.49404761904762
31.3,2015-04-30,1984,31.59499007936508
31.3,2015-05-31,1984,31.59499007936508
31.4,2015-06-30,1984,31.69593253968254
31.6,2015-07-31,1984,31.89781746031746
32.0,2015-08-31,1984,32.301587301587304
32.0,2015-09-30,1984,32.301587301587304
32.0,2015-10-31,1984,32.301587301587304
32.1,2015-11-30,1984,32.40252976190476
32.2,2015-12-31,1985,34.51482399603372
32.2,2016-01-31,1985,34.51482399603372
32.3,2016-02-29,1985,34.62201289043133
