Date,consomation,Population,PIB-Prix,Prix_Essences,Pris_Gasoil,Pris_GPLc,parc_vehicules_essence,parc_vehicules_GasOil
1980,2591,18739378,1858723,4,3,7,1325804,497018
1981,2806,19351357,1945291,4,4,7,1383500,509811
1982,3149,20000096,2032327,4,4,7,1436121,521486
1983,3332,20682111,2080249,5,4,7,1485688,532349
1984,3421,21393530,2143870,5,4,7,1542764,542197
1985,3629,22132905,2230925,5,4,7,1593370,550077
1986,3838,22882553,2284527,5,5,7,1642531,563626
1987,3982,23586101,2374189,6,5,7,1676302,573910
1988,4108,24243018,2426310,6,5,7,1725398,581513
1989,4267,24889507,2486835,6,5,7,1760483,590083
1990,4304,25022000,2544353,7,5,7,1797749,598911
1991,4451,25643000,2596900,7,5,7,1832240,611363
1992,4397,26271000,2677506,7,6,7,1889487,618652
1993,4474,26894000,2753957,8,6,7,1923434,626508
1994,4141,27496000,2846500,8,6,7,1974607,636339
1995,4141,28060000,2937310,12,7,7,2008954,647564
1996,4053,28566000,3022038,11,9,7,2038584,658428
1997,3957,29045000,3088996,12,11,7,2038584,658428
1998,4053,29507000,3166577,13,12,7,2047751,680773
1999,4113,29965000,3238198,20,12,7,2020470,732585
2000,4403,30416000,4123514,20,12,7,2059370,760522
2001,4570,30879000,4227113,20,12,7,2066345,776937
2002,4927,31357000,4522773,20,12,7,2089283,792894
2003,5524,31848000,5252321,20,12,7,2097515,833193
2004,5562,32364000,6149117,20,12,7,2134413,874576
2005,5375,32906000,7561984,22,14,9,2183879,926912
2006,5533,33481000,8501636,22,14,9,2265897,1033368
2007,5967,34096000,9352886,22,14,9,2391048,1157554
2008,6460,34745000,11043703,22,14,9,2572399,1301445
2009,10298,35600000,9968025,22,14,9,2677120,1378735
2010,10660,36300000,11991564,22,14,9,2756926,1437431
2011,11772,37100000,14588970,22,14,9,3075530,1611152
2012,12790,37900000,16209598,22,14,9,3075531,1611152
2013,13172,38700000,16647919,22,14,9,3286298,1708147
2014,13970,39500000,17228598,22,14,9,3488480,1802923
2015,14912,40400000,16712686,22,14,9,3707994,1938408
2016,14392,41200000,17525109,30,19,9,3853388,1985180
2017,14095,42200000,18594112,35,20,9,3954817,2053133
2018,14222,43000000,20452300,41,23,9,4074168,2189801
2019,14096,43900000,20428300,41,23,9,4202213,2219187
2020,12165,44244000,18476900,45,29,9,4934901,2616678
2021,12525,44600000,22079300,46,29,9,5215761,2876286
2022,12819,45400000,27688800,46,29,9,5516621,3135894
